user_id,install_date
  s_1000015213462107 ,2017-06-08 14:43:01+0000
  s_1000015983435035 ,2017-06-13 03:32:05+0000
  s_1000030253461248 ,2017-06-11 20:20:23+0000
  s_1000144340118284 ,2017-06-09 23:48:47+0000
  s_1000312063404253 ,2017-06-05 23:33:29+0000
  s_1000387850096629 ,2017-06-14 02:15:28+0000
  s_1000426343428040 ,2017-06-05 19:48:08+0000
  s_1000428900060696 ,2017-06-13 20:07:56+0000
  s_1000518653384921 ,2017-06-11 17:26:37+0000
  s_1000522260084722 ,2017-06-11 10:20:44+0000
  s_1000552603412367 ,2017-06-17 11:43:24+0000
  s_1000559370079603 ,2017-06-14 08:09:42+0000
  s_1000580110072775 ,2017-06-08 17:57:15+0000
  s_1000635090073921 ,2017-06-12 22:50:29+0000
  s_1000722696730029 ,2017-06-08 20:45:45+0000
  s_1000726500061828 ,2017-06-06 04:02:28+0000
  s_1000771820055457 ,2017-06-06 12:01:29+0000
  s_1000858409950614 ,2017-06-14 04:17:55+0000
  s_1000886120047181 ,2017-07-04 20:57:50+0000
  s_1000907990041593 ,2017-06-09 01:41:57+0000
  s_1001013530029530 ,2017-06-06 00:15:36+0000
   s_100103620606353 ,2017-06-13 22:18:59+0000
  s_1001045430027928 ,2017-06-17 02:08:18+0000
  s_1001051006692929 ,2017-06-17 03:43:12+0000
  s_1001069786694541 ,2017-06-10 00:42:42+0000
  s_1001095859993744 ,2017-06-11 05:12:46+0000
   s_100109597257728 ,2017-06-29 15:10:02+0000
  s_1001129080018254 ,2017-06-08 16:07:26+0000
  s_1001150296656093 ,2017-06-06 18:29:23+0000
   s_100116013938487 ,2017-06-13 23:14:43+0000
  s_1001224500012639 ,2017-06-11 19:30:02+0000
  s_1001293870004835 ,2017-06-06 19:26:37+0000
  s_1001376326665982 ,2017-06-12 20:02:46+0000
  s_1001413853328956 ,2017-06-12 00:27:55+0000
   s_100141843934717 ,2017-06-13 11:37:45+0000
  s_1001526266617381 ,2017-06-13 19:35:31+0000
  s_1001528579982402 ,2017-06-10 10:13:45+0000
  s_1001571736644731 ,2017-06-13 12:49:22+0000
  s_1001603643276547 ,2017-06-12 17:28:37+0000
   s_100165013926925 ,2017-06-10 00:31:13+0000
   s_100168023925634 ,2017-06-07 19:37:54+0000
  s_1001682469976736 ,2017-06-05 22:01:05+0000
   s_100169993926265 ,2017-06-09 15:36:52+0000
  s_1001712163299204 ,2017-06-15 01:55:29+0000
  s_1001784739958811 ,2017-06-14 00:14:40+0000
  s_1001785013297655 ,2017-06-13 03:09:34+0000
   s_100179147312385 ,2017-07-12 14:21:05+0000
  s_1001833139946851 ,2017-06-06 12:19:17+0000
   s_100184440597317 ,2017-06-13 14:32:05+0000
  s_1001845659918951 ,2017-06-07 01:59:52+0000
  s_1001846549994765 ,2017-06-13 18:16:21+0000
  s_1001903686617643 ,2017-06-12 02:09:39+0000
  s_1001908549950930 ,2017-07-15 22:54:03+0000
